episode 229	loss 13.567402	 episode reward -21.0	 number of down act 0.5927927927927928	 game_len 1110	
episode 230	loss 9.3841095	 episode reward -21.0	 number of down act 0.609254498714653	 game_len 1167	
episode 231	loss 4.986059	 episode reward -20.0	 number of down act 0.5892972275951	 game_len 1551	
episode 232	loss 1.6768137	 episode reward -21.0	 number of down act 0.5916808149405772	 game_len 1178	
episode 233	loss -0.9091268	 episode reward -20.0	 number of down act 0.6030624263839811	 game_len 1698	
episode 234	loss 8.106302	 episode reward -21.0	 number of down act 0.5858310626702997	 game_len 1101	
episode 235	loss 17.09853	 episode reward -21.0	 number of down act 0.5556432517758485	 game_len 1267	
episode 236	loss -0.63397557	 episode reward -21.0	 number of down act 0.5880370682392586	 game_len 1187	
episode 237	loss 11.163618	 episode reward -21.0	 number of down act 0.5576271186440678	 game_len 1180	
episode 238	loss 12.277767	 episode reward -21.0	 number of down act 0.579746835443038	 game_len 1185	
episode 239	loss -3.5550747	 episode reward -21.0	 number of down act 0.5822222222222222	 game_len 1350	
episode 240	loss -0.12466854	 episode reward -20.0	 number of down act 0.5615883306320908	 game_len 1234	
episode 241	loss 11.747906	 episode reward -21.0	 number of down act 0.5477031802120141	 game_len 1415	
episode 242	loss 9.762227	 episode reward -21.0	 number of down act 0.5416666666666666	 game_len 1080	
episode 243	loss 10.202515	 episode reward -21.0	 number of down act 0.5731254639940608	 game_len 1347	
episode 244	loss 7.2266364	 episode reward -21.0	 number of down act 0.5686988171064604	 game_len 1099	
episode 245	loss 9.970559	 episode reward -20.0	 number of down act 0.5452212957023733	 game_len 1559	
episode 246	loss 8.580315	 episode reward -21.0	 number of down act 0.551048951048951	 game_len 1430	
episode 247	loss 17.33624	 episode reward -21.0	 number of down act 0.5205696202531646	 game_len 1264	
episode 248	loss -2.7856016	 episode reward -20.0	 number of down act 0.5945945945945946	 game_len 1480	
episode 249	loss 5.762211	 episode reward -21.0	 number of down act 0.5341880341880342	 game_len 1170	
episode 250	loss 12.142109	 episode reward -21.0	 number of down act 0.5487510072522159	 game_len 1241	
episode 251	loss 5.2530837	 episode reward -21.0	 number of down act 0.5573770491803278	 game_len 1281	
episode 252	loss 12.155283	 episode reward -21.0	 number of down act 0.5470022205773502	 game_len 1351	
episode 253	loss 14.422153	 episode reward -21.0	 number of down act 0.5580898075552387	 game_len 1403	
episode 254	loss -3.1824234	 episode reward -21.0	 number of down act 0.557919621749409	 game_len 1269	
episode 255	loss 9.19046	 episode reward -21.0	 number of down act 0.5619307832422586	 game_len 1098	
episode 256	loss 13.19886	 episode reward -21.0	 number of down act 0.5572457966373099	 game_len 1249	
episode 257	loss 8.189176	 episode reward -21.0	 number of down act 0.5659037095501184	 game_len 1267	
episode 258	loss 13.002136	 episode reward -19.0	 number of down act 0.5613079019073569	 game_len 1835	
